Post_ID,Week,Week_Theme,Day,Platform,Format,Pillar,Status,Title,Hook,Slide_Count,Caption_Opening,CTA,Hashtags,Substack_Companion,Fill_In_Required,Notes
P08-IG,Week 3,Teach Something Real,Wednesday,Instagram,Carousel,AI Creative,Idea,The AI Campaign Build,"I built a full brand campaign with AI in under an hour. Here's every step.",8,"I built a full brand campaign with AI in under an hour. Strategy. Visuals. Copy. Layout. Here's every step.",Follow + Substack for the full prompt list,"#AICreative #AIMarketing #MarketingCreative #BrandMarketing #AITools #CreativeAI #MarketingDesign",Issue #3,YES — needs a real campaign you built.,Show before/after visuals. Issue #3 is the full walkthrough.
P08-LI,Week 3,Teach Something Real,Wednesday,LinkedIn,Text Post,AI Creative,Idea,The AI Campaign Build,"I built a full brand campaign using only AI tools — in under an hour.",,"I built a full brand campaign using only AI tools — in under an hour. Here's what I used and what surprised me.",What would you use this for? Reply below,"#AICreative #AIMarketing #BrandMarketing #AI #MarketingLeadership",Issue #3,YES — needs real campaign details.,Good for generating consulting interest.
P09-IG,Week 3,Teach Something Real,Friday,Instagram,Single Image,Build in Public,Idea,The Vision,"Why I'm building CozyRocketStudio.",,"Here's the honest reason I'm building CozyRocketStudio. It's not the one most people would expect.",Follow for the journey,"#BuildInPublic #CozyRocketStudio #AIMarketing #CreatorJourney #SideProject #AIBuilder #Entrepreneurship",None,No,Personal and emotional. Converts lurkers to followers.
P09-LI,Week 3,Teach Something Real,Friday,LinkedIn,Text Post,Build in Public,Idea,The Vision,"Why I'm building something on the side — and what it has to do with my day job.",,"Why I'm building something on the side — and what it has to do with my day job.",Follow along on Instagram @cozyrocketstudio,"#BuildInPublic #AI #MarketingLeadership #Entrepreneurship #AIMarketing",None,No,Drives cross-platform follows. Link to IG.
P10-IG,Week 4,Build Credibility + Drive Action,Monday,Instagram,Carousel,Education,Idea,The Mistakes Post,"3 AI marketing mistakes I see every week (and how to fix them)",6,"3 AI marketing mistakes I see every week in real marketing teams. I've made all of them.",Save this + tag someone who needs it,"#AIMarketing #MarketingMistakes #MarketingAutomation #AITools #GrowthMarketing #AIBuilder #MarketingTips",None,No,High save + share. Strong for reach.
P10-LI,Week 4,Build Credibility + Drive Action,Monday,LinkedIn,Text Post,Education,Idea,The Mistakes Post,"The 3 AI marketing mistakes I see most often — even in sophisticated teams.",,"The 3 AI marketing mistakes I see most often — even in sophisticated teams.",Which one have you made? Be honest in the comments,"#AIMarketing #MarketingLeadership #AI #GrowthMarketing #MarketingAutomation",None,No,Strong for comments + credibility.
P11-IG,Week 4,Build Credibility + Drive Action,Wednesday,Instagram,Carousel,Growth Systems,Idea,The Content Workflow,"A month of content in 4 hours. Here's my exact AI workflow.",7,"A month of content in 4 hours. Here's the exact workflow I've built so I never stare at a blank page again.",Save this + Substack for the full system,"#AIMarketing #ContentStrategy #MarketingAutomation #GrowthSystems #ContentCreation #AIWorkflow #AIBuilder",None,No,Strong save post. Shows the CozyRocketStudio system in action.
P11-LI,Week 4,Build Credibility + Drive Action,Wednesday,LinkedIn,Document,Growth Systems,Idea,The Content Workflow,"How I produce a full month of content in 4 hours using AI.",,"How I produce a full month of content in 4 hours using AI. The exact workflow.",Download and try it this week,"#AIMarketing #ContentStrategy #MarketingAutomation #AI #MarketingLeadership",None,No,Native document for LI algorithm. High save potential.
P12-IG,Week 4,Build Credibility + Drive Action,Friday,Instagram,Reel,Build in Public,Idea,Month 1 Reflection,"Month 1 done. Here's the honest truth.",,"Month 1. [X] posts. [X] followers. Here's what actually worked — and what didn't.",Follow for Month 2,"#BuildInPublic #CozyRocketStudio #AIMarketing #CreatorJourney #Month1 #AIBuilder",Issue #4,YES — fill in real data after Month 1.,Companion to Substack Issue #4. Raw and honest tone wins.
P12-LI,Week 4,Build Credibility + Drive Action,Friday,LinkedIn,Text Post,Build in Public,Idea,Month 1 Reflection,"Month 1 of building in public — the honest numbers.",,"Month 1 of building in public — the honest numbers. What worked. What didn't. What I'm changing.",Follow along for Month 2 on Instagram @cozyrocketstudio,"#BuildInPublic #AIMarketing #MarketingLeadership #Entrepreneurship #AI",Issue #4,YES — fill in real data after Month 1.,Cross-promote Substack Issue #4.
SS01,Week 1,Establish Who You Are,Sunday,Substack,Newsletter,Build in Public,Idea,Welcome + AI Marketing Stack,"Welcome to The AI Marketing Playbook — here's exactly what you're getting.",,"You signed up because you want to cut through the AI noise and build things that actually work. That's exactly what this newsletter is for.",Hit reply and tell me your biggest AI barrier,"",None,No,Companion to P02 Tool Stack. Deep dive on AI stack + welcome.
SS02,Week 2,Prove You Can Do It,Sunday,Substack,Newsletter,Growth Systems,Idea,The Full Automation System Breakdown,"The full workflow behind the before/after I posted this week.",,"This week on Instagram I showed the output. This is the full system — every step, every tool, every decision.",Hit reply: what would you automate first?,"",None,YES — needs real automation workflow details.,Companion to P04 Before/After. This is where business enquiries convert.
SS03,Week 3,Teach Something Real,Sunday,Substack,Newsletter,AI Creative,Idea,Full Campaign Build Walkthrough,"How I built a full AI campaign in under an hour — every step, every prompt.",,"This week on Instagram I showed the output of an AI-built campaign. This issue is the full behind-the-scenes.",Reply: what campaign would you build?,"",None,YES — needs real campaign details.,Companion to P08 AI Creative. Full prompt walkthrough.
SS04,Week 4,Build Credibility + Drive Action,Sunday,Substack,Newsletter,Build in Public,Idea,Month 1 Learnings Report,"Month 1 done. Here's everything I learned.",,"Four weeks. [X] posts. [X] subscribers. Here's the full month 1 report — numbers, lessons, what I'm changing.",Forward to someone who should be on this list,"",Issue #1-3,YES — fill in all real data after Month 1.,"Honest numbers post. Most shareable issue. Companion to P12."
TH-W1,Week 1,Establish Who You Are,Daily,Threads,Text Post,Mixed,Idea,Week 1 Threads Pack,"Rotate: Opinion / Question / Micro Lesson / Observation / Behind Scenes / Tool Take / Stat / Progress",,,,,,No,Use threads_daily_templates.md. 1 post per day. Topics: Days 1-7 of 30-day starter pack.
TH-W2,Week 2,Prove You Can Do It,Daily,Threads,Text Post,Mixed,Idea,Week 2 Threads Pack,"Rotate: Opinion / Question / Micro Lesson / Observation / Behind Scenes / Tool Take / Stat / Progress",,,,,,No,Use threads_daily_templates.md. 1 post per day. Topics: Days 8-14 of 30-day starter pack.
TH-W3,Week 3,Teach Something Real,Daily,Threads,Text Post,Mixed,Idea,Week 3 Threads Pack,"Rotate: Opinion / Question / Micro Lesson / Observation / Behind Scenes / Tool Take / Stat / Progress",,,,,,No,Use threads_daily_templates.md. 1 post per day. Topics: Days 15-21 of 30-day starter pack.
TH-W4,Week 4,Build Credibility + Drive Action,Daily,Threads,Text Post,Mixed,Idea,Week 4 Threads Pack,"Rotate: Opinion / Question / Micro Lesson / Observation / Behind Scenes / Tool Take / Stat / Progress",,,,,,No,Use threads_daily_templates.md. 1 post per day. Topics: Days 22-30 of 30-day starter pack.
